关键词,热度,标准化热度
2025年原生鸿蒙将迎来爆发式增长,311757,1.5590417311724458
雷军否认造小米汽车只要100亿,240607,1.1524638902876412
少女吸笑气2年送医3次,726690,3.930124840826061
胖东来员工不许靠父母积蓄买房买车,1276780,7.073545845637337
家里出现裂缝村民质疑挖掘机,835383,4.551237493802759
曾经夺冠最多的中国足球队落幕了,531015,2.811964348694871
苏享茂家属已接到本月21日开庭通知,427950,2.223012202935315
央视曝95起加油站案逃税7.9亿元,5444801,30.89118434096446
2岁娃长隆酒店高烧保安拒交外卖药,1338643,7.427054278113186
被家暴16次女子直播带货,503426,2.654310433695983
屏摄电影发朋友圈违法吗,577500,3.077597109531556
网传日本地铁站有序实为北京西二旗,374574,1.9180016781978961
特朗普再提吞并加拿大,1095549,6.037923798112473
中方敦促以色列停止将医院变战场,117832,0.4508813967580289
网络文学作家知秋去世年仅44岁,595430,3.1800558683096947
台球女助教被客人开球砸到手指骨折,5086165,28.841803447871524
19岁大学生突发疾病脑死亡,648749,3.4847406736243385
官方通报女子吃包子称有甲醛索赔,150765,0.6390729362360229
上海258元一份的蛋炒饭,259156,1.258459847709598
银川地震瞬间一母亲死死护住宝宝,594173,3.172872897881132
男星赴泰国拍戏失联女友发文求助,733969,3.971719782551999
苹果客服建议所有用户更新系统,469953,2.4630331312653846
男子疑得罪驿站员工致无法收到快递,363884,1.856915000488008
贪官为挪用资金开出假票3000多张,101215,0.35592561345538937
一潜水者被所乘游艇挂机螺旋绞中死亡,321706,1.6158940563862605
孕照被AI生成文案脑子不够肚子来凑,724800,3.9193246704919456
美国汽车撞人案遇难女生即将上大学,401714,2.073089838445452
MCN老板说网红成功率比考清北低,468641,2.4555358701657237
泰国总理确认找到王星,236357,1.1281777929754777
红薯香精烤红薯能飘香味道不佳,381822,1.9594194742728512
招募星星者曾多次借钱不还,328928,1.657163278689424
中学录用13人无一师范毕业的冷思考,513213,2.7102370300240164
贪官把兄弟和妻儿培植成收款员,405935,2.097210218858309
央视起底虹膜写真暗藏风险,551464,2.9288176202093243
尹锡悦多名高级幕僚请辞,530686,2.810084319044117
台湾歌手撞人致死第2天仍参加演唱会,2489015,14.000712239804466
农村宅基地废弃面积760万公顷,4654604,26.375701696781046
清华北大不是谁的揽客招牌,5376400,30.500315319258746
国内生产总值预计超130万亿元,359139,1.829800287135957
外卖骑手工伤究竟谁担责,342025,1.732004459041754
广西柳州被曝换表后燃气费跑太快,439578,2.2894589651813937
从校园餐里1毛钱1毛钱贪了23万,1397856,7.7654196146179215
苹果新机激活量大幅下滑,166516,0.7290800700628193
自称羽协男子在免费球馆驱赶学生,442818,2.3079735428970194
广东女子错买断肠草煲汤致中毒身亡,220382,1.0368906389609345
花70万上港大刚上了1年被清退,479447,2.5172854154728386
因爱重生的肥娟小吃店迎来晚高峰,139025,0.5719861638960706
经济学家建议提升农村养老金,5437905,30.85177800518454
男子给女友转账100万分手后起诉对方,800750,4.3533315153998995
已婚已育后我决定过年谁家也不回,1492873,8.308382463631999
